show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,genre_list,duration_int,content_age,genre_count,type_encoded,rating_encoded,HC_Cluster,DBSCAN_Cluster,KMeans_cluster,HC_cluster,DBSCAN_cluster,PCA1,PCA2,TSNE1,TSNE2
s11,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",United States,"October 20, 2017",2017,TV-MA,103 min,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.","['Dramas', 'Thrillers']",103,8,2,0,8,0,-1,0,0,-1,-0.4717330159008329,-0.5109104530923676,20.01494,-22.490145
s12,TV Show,1983,Unknown,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.","['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1,7,3,1,8,0,-1,0,0,-1,3.9833350864280814,-1.9294070531091532,25.63517,52.226
s13,TV Show,1994,Diego Enrique Osorno,Not Available,Mexico,"May 17, 2019",2019,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.","['Crime TV Shows', 'Docuseries', 'International TV Shows']",1,6,3,1,8,0,-1,0,0,-1,3.742851836516485,-1.406984009009732,10.669469,-1.814787
s14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,"March 1, 2019",2018,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.","['Documentaries', 'International Movies', 'Sports Movies']",89,7,3,0,8,0,-1,0,0,-1,-1.1048766375126968,0.4386210545139396,25.083172,-28.821363
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,"March 19, 2020",2019,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.","['Independent Movies', 'Sci-Fi & Fantasy', 'Thrillers']",91,6,3,0,5,0,-1,0,0,-1,-1.2407500570517673,-1.437676420571644,41.593277,-52.998856
s16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,"September 1, 2019",2014,TV-14,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.","['Dramas', 'International Movies', 'Thrillers']",149,11,3,0,6,0,-1,0,0,-1,-1.429627234209313,-1.3449954529183126,19.640137,-17.861225
s17,TV Show,Feb-09,Unknown,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi",Unknown,"March 20, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.","['International TV Shows', 'TV Dramas']",1,7,2,1,6,0,-1,0,0,-1,1.7978155365690283,-1.4442861853364128,-24.832445,26.787325
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.","['Dramas', 'Thrillers']",144,7,2,0,5,0,-1,0,0,-1,-0.8339802852369407,-0.4011833972602338,55.253174,-0.45839852
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,"March 29, 2019",2019,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.","['Comedies', 'Dramas', 'Independent Movies']",124,6,3,0,6,0,-1,0,0,-1,-1.9032849142415655,-0.833655002509262,-12.489112,-23.18619
s20,Movie,'89,Unknown,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,"May 16, 2018",2017,TV-PG,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",['Sports Movies'],87,8,1,0,9,0,-1,0,0,-1,-0.846814454191898,0.8058264781147636,34.28455,-14.060465
s21,Movie,​​Kuch Bheege Alfaaz,Onir,"Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan",India,"September 1, 2018",2018,TV-14,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.","['Dramas', 'Independent Movies', 'International Movies']",110,7,3,0,6,0,-1,0,0,-1,-1.9867702117757315,-1.0483096976691246,-50.775833,-15.908393
s22,Movie,​Goli Soda 2,Vijay Milton,"Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha",India,"September 15, 2018",2018,TV-14,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers.","['Action & Adventure', 'Dramas', 'International Movies']",128,7,3,0,6,0,-1,0,0,-1,-1.382626419689369,-0.9960349730153222,37.901295,-3.6160522
s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar",India,"September 15, 2018",2017,TV-14,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks.","['Dramas', 'International Movies']",117,8,2,0,6,0,-1,0,0,-1,-1.8537764188833488,-0.49898055384551376,-52.772633,19.125225
s24,Movie,​Mayurakshi,Atanu Ghosh,"Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury",India,"September 15, 2018",2017,TV-14,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them.","['Dramas', 'International Movies']",100,8,2,0,6,0,-1,0,0,-1,-2.2247984589358345,-0.6752598419646552,-37.32311,-30.592588
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,Unknown,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,"January 23, 2020",2020,TV-14,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.","['Anime Series', 'International TV Shows']",2,5,2,1,6,0,-1,2,0,-1,3.0895566112125024,-0.8612847065541139,-37.76373,36.614796
s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",Not Available,United States,"June 30, 2016",2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,['Documentaries'],84,10,1,0,2,0,-1,0,0,-1,-0.30539396685227166,1.4746491693028068,60.556282,-37.47558
s27,TV Show,(Un)Well,Unknown,Not Available,United States,"August 12, 2020",2020,TV-MA,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",['Reality TV'],1,5,1,1,8,0,-1,0,0,-1,2.501452231195601,1.8332633953338786,-57.369785,-1.2814922
s28,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye",South Korea,"September 8, 2020",2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.","['Horror Movies', 'International Movies', 'Thrillers']",99,5,3,0,8,0,-1,0,0,-1,-1.5310365458789015,-0.7112764167632305,1.6368928,-20.398695
s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,"July 1, 2020",2019,TV-14,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.","['Documentaries', 'International Movies']",95,6,2,0,6,0,-1,0,0,-1,-1.1351157276736468,0.5247473943918537,50.77415,-5.843511
s30,TV Show,#blackAF,Unknown,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,"April 17, 2020",2020,TV-MA,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",['TV Comedies'],1,5,1,1,8,0,-1,0,0,-1,2.5737463739590067,1.8557928839993678,-48.52714,-38.592346
s31,Movie,#cats_the_mewvie,Michael Margolis,Not Available,Canada,"February 5, 2020",2020,TV-14,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.","['Documentaries', 'International Movies']",90,5,2,0,6,0,-1,0,0,-1,-0.6969759660622937,0.948138170505596,63.242832,17.112389
s32,Movie,#FriendButMarried,Rako Prijanto,"Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,"May 21, 2020",2018,TV-G,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.","['Dramas', 'International Movies', 'Romantic Movies']",102,7,3,0,7,0,-1,0,0,-1,-1.9066582239330023,-1.7041725407170476,-19.491665,12.156056
s33,Movie,#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,"June 28, 2020",2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.","['Dramas', 'International Movies', 'Romantic Movies']",104,5,3,0,7,0,-1,0,0,-1,-1.7420535057462139,-1.3455026809268855,6.855947,32.538128
s34,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,"September 8, 2017",2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",['Comedies'],99,8,1,0,6,0,-1,0,0,-1,-0.42208071816835396,0.7220192425011709,-36.515244,12.5852585
s35,Movie,#Roxy,Michael Kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,"April 10, 2019",2018,TV-14,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,"['Comedies', 'Romantic Movies']",105,7,2,0,6,0,-1,0,0,-1,-1.4677957261292005,-0.4855829991303031,-31.882595,2.3375802
s36,Movie,#Rucker50,Robert McCullough Jr.,Not Available,United States,"December 1, 2016",2016,TV-PG,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,"['Documentaries', 'Sports Movies']",56,9,2,0,9,0,-1,0,0,-1,-0.3796333654658631,1.4487130855705825,-57.36862,-19.57306
s37,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,"June 1, 2019",2014,TV-MA,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.","['Comedies', 'Dramas', 'International Movies']",125,11,3,0,8,0,-1,0,0,-1,-1.6911594871764402,-0.997190585912451,20.609436,4.1182194
s38,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,"June 1, 2019",2016,TV-MA,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.","['Comedies', 'Dramas', 'International Movies']",119,9,3,0,8,0,-1,0,0,-1,-1.5286899029692556,-0.6594888054816416,-9.80761,-49.96058
s39,TV Show,แผนร้ายนายเจ้าเล่ห์,Unknown,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",Unknown,"March 30, 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore.","['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",1,9,3,1,6,0,-1,0,0,-1,2.5084789244584886,-0.969879525713037,8.439323,36.660976
s40,Movie,"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,"July 19, 2019",2019,TV-MA,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.","['Comedies', 'International Movies']",81,6,2,0,8,0,-1,0,0,-1,-1.9729677612900272,-0.7276832144121214,-11.525041,15.913548
s41,Movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turkey,"March 10, 2017",2015,TV-14,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.,"['Comedies', 'International Movies']",97,10,2,0,6,0,-1,0,0,-1,-1.6246012915747028,-0.20580604081267215,-32.231976,18.757647
s42,Movie,Ég man þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,"March 27, 2018",2017,TV-MA,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.","['Horror Movies', 'International Movies']",106,8,2,0,8,0,-1,0,0,-1,-1.9775869648097382,-0.7292332470022456,-1.4989648,-3.4128046
s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,"March 10, 2017",2010,TV-MA,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off.","['Comedies', 'International Movies']",99,15,2,0,8,0,-1,0,0,-1,-1.3589418237488606,-0.036406111432730294,-35.931046,-39.71845
s44,Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,"October 2, 2020",2020,TV-MA,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.","['Dramas', 'International Movies']",107,5,2,0,8,0,-1,0,0,-1,-1.5553093340903483,-0.8777924190970362,12.579256,-12.697296
s45,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,"February 1, 2018",2005,PG-13,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.","['Action & Adventure', 'Sci-Fi & Fantasy']",93,20,2,0,4,0,-1,0,0,-1,-1.573467820481859,-0.7695318408431464,33.146206,-49.2904
s46,TV Show,Şubat,Unknown,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,"January 17, 2017",2013,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past.","['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1,12,3,1,8,0,-1,0,0,-1,2.8782809539689733,-2.263809418857794,-7.355675,18.011484
s47,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",United States,"July 1, 2017",2014,TV-PG,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.","['Dramas', 'Romantic Movies']",89,11,2,0,9,0,-1,0,0,-1,-1.0984378430306085,-0.8087341309730924,-11.32058,25.25092
s48,Movie,1 Mile to You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,"July 7, 2017",2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.","['Dramas', 'Romantic Movies', 'Sports Movies']",105,8,3,0,6,0,-1,0,0,-1,-1.5938047381789333,-0.9628605714884684,-9.716992,48.39789
s49,Movie,10 Days in Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria","October 18, 2019",2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.","['Comedies', 'International Movies', 'Romantic Movies']",87,8,3,0,6,0,-1,0,0,-1,-2.3543005471378264,-1.2768276900883622,-25.18943,-2.247748
s50,Movie,10 jours en or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,"July 1, 2017",2012,TV-14,97 min,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.","['Comedies', 'Dramas', 'International Movies']",97,13,3,0,6,0,-1,0,0,-1,-2.299240955613657,-1.3607966938405311,49.314987,-20.829826
s51,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa","June 1, 2019",2008,PG-13,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,['Action & Adventure'],109,17,1,0,4,0,-1,0,0,-1,-1.5165691201328,0.12278948979054835,10.233003,-32.288483
s52,TV Show,100 Days My Prince,Unknown,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",South Korea,"December 7, 2020",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.","['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1,7,3,1,6,0,-1,0,0,-1,2.174134558408688,-1.9806904796849656,-4.2613335,21.577658
s53,Movie,100 Days Of Solitude,Unknown,Not Available,Spain,"July 6, 2018",2018,TV-MA,93 min,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.","['Documentaries', 'International Movies']",93,7,2,0,8,0,-1,0,0,-1,-1.1012795945373504,0.22474614817361402,2.2555373,30.59761
